"ID","Name","Title","Role","Origin","Current identity / powers","Current movement","Declared speed","Flight tier","Flight tier basis","Current flight visual","Current evade / sprint","Current movement extras","Current body model","Current frame (derived)","Current model (resolved defaults)","Current build / gear","Current carried items","Current colors","Current threat","Current strength","Current power-up","Current abilities","Before front","Before rear","Before archive commit","After status","Desired look / silhouette","Desired hair / face","Desired costume","Desired emblem","Desired colors / materials","Desired gear","Desired sprint animation","Desired flight animation","Desired infected identity","Desired power visuals","Design approval","Animation approval","Reviewer notes","After evidence link","Definition source","Appearance source","Scope"
"torch","TORCH","The Human Flame","Fire Flyer / Air","altered","Flame on. A fast flyer wrapped in fire — grab him and you burn. Jets, homing fireballs, and a supernova.","Flight","40","3","Explicit source","martial","{""kind"":""sprint"",""name"":""Jet Sprint"",""mult"":1.7,""dur"":1.6}","{""flyStyle"":""fire"",""afterburner"":{""mult"":2.1,""kiPerSec"":14,""wake"":[""#ff6a1a"",""#ffd24a""]}}","Not declared","{""scale"":0.97,""bulk"":0.9,""broad"":0.96,""head"":1.03,""neck"":0.92,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""crest"":1}","Not declared","{""primary"":""#ffb02d"",""secondary"":""#b26300"",""accent"":""#ffd557"",""skin"":""#e8b98a""}","High","4","Not declared","LMB: Flame Jet (beam)
RMB: Fire Blast (cone)
Q: Fireball (projectile)
E: Flaming Fist (melee)
H: Ember Storm (volley)
SHIFT: Jet Dash (dash)
R: Supernova (nova)","../marketing/roster-before-rebuild/torch-front.png","../marketing/roster-before-rebuild/torch-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"apex","APEX","The Perfect Being","Absorb / Regen","altered","A bio-engineered predator. His throws drain your life to heal him, he regenerates, and charges a perfect wave.","Flight","32","3","Runtime default (not explicit)","martial","{""kind"":""blink"",""name"":""Afterimage"",""range"":22}","{""afterburner"":{""mult"":2.1,""kiPerSec"":14,""wake"":[""#ffe066"",""#ff9a2a""]}}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""crest"":1,""pauldron"":1}","Not declared","{""primary"":""#25ca61"",""secondary"":""#1c6b35"",""accent"":""#c3ff73"",""skin"":""#6fae7a""}","Extreme","8","Not declared","LMB: Wave Cannon (beam)
RMB: Tail Sweep (melee)
Q: Consume (lifedrain)
E: Afterimage (teleport)
H: Regenerate (buff)
SHIFT: Burst Step (dash)","../marketing/roster-before-rebuild/apex-front.png","../marketing/roster-before-rebuild/apex-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"specter","SPECTER","The Synthezoid","Phase / Flight","robotic","Controls his own density. Phase through everything with energy, or turn diamond-hard to hit like a truck.","Flight","34","3","Runtime default (not explicit)","martial","{""kind"":""phase"",""name"":""Ghost Slip""}","{}","Not declared","{""scale"":1,""bulk"":1,""broad"":1,""head"":1,""neck"":1,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""hood"":1,""visor"":1,""collar"":1}","Not declared","{""primary"":""#28bb83"",""secondary"":""#e0331b"",""accent"":""#ffe270"",""skin"":""#b9c6cc""}","High","6","Not declared","LMB: Solar Beam (beam)
RMB: Density Punch (melee)
Q: Intangibility (phase)
E: Stone Bolt (projectile)
H: Max Density (buff)
SHIFT: Phase Step (dash)
R: Solar Nova (charge)","../marketing/roster-before-rebuild/specter-front.png","../marketing/roster-before-rebuild/specter-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"vanguard","VANGUARD","The Invincible","Air Combat / Invuln","alien","Bulletproof and airborne. Tackles across the sky, laser-visions from range, and turns briefly untouchable.","Flight","42","3","Runtime default (not explicit)","glider","{""kind"":""sprint"",""name"":""Blitz Run"",""mult"":1.75,""dur"":1.4}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""glider"",""hairColor"":""#17242b"",""definition"":0.85}","{""helmet"":1,""visor"":1,""pauldron"":2,""gaunt"":1}","Not declared","{""primary"":""#190aff"",""secondary"":""#d4d9bc"",""accent"":""#ffd557"",""skin"":""#e8c39a"",""cape"":""#dd6909""}","Very High","9","Not declared","LMB: Eye Beam (beam)
RMB: Flying Tackle (melee)
Q: Thunderclap (cone)
E: Sky Combo (rush)
SHIFT: Blitz (dash)
R: Unbreakable (buff)","../marketing/roster-before-rebuild/vanguard-front.png","../marketing/roster-before-rebuild/vanguard-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"kraken","KRAKEN","The Abyss Given Form","Tentacle Grappler","symbiotic","Four living tentacles grown from raw energy. They reach, they constrict — and then they slam you through the nearest wall.","Limited flight","29","1","Explicit source","martial","{""kind"":""slide"",""name"":""Undertow"",""slideT"":0.6,""power"":120}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""horns"":1,""collar"":1}","Not declared","{""primary"":""#01a1bc"",""secondary"":""#026575"",""accent"":""#57ffd7"",""skin"":""#7fb8ac""}","Very High","8","Not declared","LMB: Abyssal Grab (tentacle)
RMB: Riptide Lash (melee)
Q: Corrosive Ink (cone)
E: Abyss Bolt (projectile)
H: Deep Hunger (buff)
SHIFT: Surge (dash)
R: Leviathan Maw (charge)","../marketing/roster-before-rebuild/kraken-front.png","../marketing/roster-before-rebuild/kraken-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"rift","RIFT","The Doorbreaker","Portal Tactician","mutated","Opens doors in the world itself. Orange in, blue out — fighters, fireballs, everything goes through. Geometry is a suggestion.","Levitation","34","2","Explicit source","martial","{""kind"":""blink"",""name"":""Side Door"",""range"":36,""cost"":14,""cd"":1.5,""iframes"":0.3}","{}","Not declared","{""scale"":0.92,""bulk"":0.79,""broad"":0.9,""head"":1.09,""neck"":0.84,""stance"":0.94}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""helmet"":1,""visor"":1,""collar"":1}","Not declared","{""primary"":""#3e445d"",""secondary"":""#c0c7d9"",""accent"":""#ff933b"",""skin"":""#d8b98a""}","High","3","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Untethered"",""cost"":24,""cd"":18,""mult"":1.5,""dur"":9,""color"":""#ff8a2a"",""color2"":""#fff""}}","LMB: Rift Ray (beam)
RMB: Dimensional Door (portal)
Q: Fracture Bolt (projectile)
E: Step Through (teleport)
SHIFT: Slip (dash)
R: Event Horizon (charge)","../marketing/roster-before-rebuild/rift-front.png","../marketing/roster-before-rebuild/rift-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"titan","TITAN","The War Engine","Armored Juggernaut","robotic","Not a man — a machine of war. Battery-fed twin cannons, a pulse rifle, thruster exhaust, and armor that showers sparks instead of blood.","Levitation","29","2","Explicit source","thruster","{""kind"":""dash"",""name"":""Thruster Burn"",""power"":100,""dtype"":""fire""}","{}","Not declared","{""scale"":1.12,""bulk"":1.28,""broad"":1.24,""head"":0.9,""neck"":1.34,""stance"":1.18}","{""costume"":""plated"",""flightStyle"":""thruster"",""hairColor"":""#17242b"",""definition"":0.2}","{""helmet"":1,""visor"":1,""pauldron"":2,""gaunt"":1,""gun"":1}","Not declared","{""primary"":""#62658b"",""secondary"":""#3e3d5d"",""accent"":""#ffa23b"",""skin"":""#8a919c""}","High","9","{""schema"":1,""sourceSlot"":""f"",""ability"":{""type"":""buff"",""name"":""Overdrive Core"",""cost"":26,""cd"":20,""mult"":1.6,""dur"":11,""heal"":30,""color"":""#ff9a2a"",""color2"":""#fff""}}","LMB: Twin Cannon (beam)
RMB: Pulse Rifle (rifle)
Q: Reactor Burst (charge)
E: Vent Blast (cone)
SHIFT: Thruster Dash (dash)
R: Annihilator Array (beam)","../marketing/roster-before-rebuild/titan-front.png","../marketing/roster-before-rebuild/titan-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"sarge","SARGE","The Last Soldier","Human Arsenal","skilled","No powers. Just a pulse carbine, a plasma blade, a riot shield, grenades, and legs that clear a building. Somehow still terrifying.","Combat leap","33","0","Explicit source","thruster","{""kind"":""leap"",""name"":""Combat Leap"",""up"":48,""fwd"":68}","{}","superhero-male","{""scale"":1.02,""bulk"":1.08,""broad"":1.1,""stance"":1.05,""head"":0.97,""neck"":1.05}","{""costume"":""tactical"",""flightStyle"":""thruster"",""hairColor"":""#17242b"",""body"":""superhero-male"",""surface"":""field"",""equipment"":""soldier"",""definition"":0.35}","{""band"":1,""gaunt"":1,""gun"":1,""weaponL"":""sword"",""shield"":1}","[{""kind"":""jetcell"",""name"":""Jump Jets"",""cd"":14,""dur"":6,""charges"":2}]","{""primary"":""#75903f"",""secondary"":""#4d5d31"",""accent"":""#ffd557"",""skin"":""#c9915a""}","Low","4","Not declared","LMB: Service Carbine (rifle)
RMB: Frag Grenade (projectile)
Q: Plasma Blade (melee)
E: Breaching Shotgun (rifle)
H: Stim Shot (buff)
SHIFT: Combat Roll (dash)
R: Airstrike (meteor)","../marketing/roster-before-rebuild/sarge-front.png","../marketing/roster-before-rebuild/sarge-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"merc","MERC","The Outlander","Gun Combat","skilled","A mercenary with a gun for every range and a short-range combat teleporter. Charged pistol, blaster rifle, thermal detonators — double-tap a direction to blink out of the firing line.","Ground","34","0","Explicit source","thruster","{""kind"":""blink"",""name"":""Combat Blink"",""range"":16,""cost"":6,""cd"":0.9,""iframes"":0.18}","{}","superhero-male","{""scale"":1.02,""bulk"":1.08,""broad"":1.1,""stance"":1.05,""head"":0.97,""neck"":1.05}","{""costume"":""tactical"",""flightStyle"":""thruster"",""hairColor"":""#17242b"",""body"":""superhero-male"",""surface"":""field"",""equipment"":""soldier"",""definition"":0.35}","{""collar"":1,""weaponR"":""rifle"",""weaponL"":""pistol""}","[{""kind"":""shieldpack"",""name"":""Personal Shield"",""cd"":18,""hp"":60,""charges"":2}]","{""primary"":""#6a5c48"",""secondary"":""#3d362c"",""accent"":""#ffb24a"",""skin"":""#c9a075""}","Low","3","Not declared","LMB: Blaster Rifle (rifle)
RMB: Charged Pistol (charge)
Q: Scatter Blaster (rifle)
E: Thermal Detonator (projectile)
H: Heavy Pistol (rifle)
SHIFT: Combat Roll (dash)
R: Rail Detonator (projectile)","../marketing/roster-before-rebuild/merc-front.png","../marketing/roster-before-rebuild/merc-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"kivuli","KIVULI","The Breath of Kampala","Gas Controller","mutated","From Kampala, Uganda. Exhales a living purple gas that chokes, blinds — and turns SOLID on his command. Walls, blades, coffins of hardened vapor.","Levitation","33","2","Explicit source","martial","{""kind"":""phase"",""name"":""Mist Walk""}","{}","Not declared","{""scale"":0.97,""bulk"":0.9,""broad"":0.96,""head"":1.03,""neck"":0.92,""stance"":1}","{""costume"":""fitted"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.85}","{""tank"":1,""hood"":1}","Not declared","{""primary"":""#4a2a80"",""secondary"":""#1e1038"",""accent"":""#b06aff"",""skin"":""#6a4a3a""}","High","4","Not declared","LMB: Choking Veil (cone)
RMB: Solid Smoke (construct)
Q: Gas Form (phase)
E: Creeping Cloud (projectile)
H: Second Wind (buff)
SHIFT: Vapor Slip (dash)
R: Asphyxia (charge)","../marketing/roster-before-rebuild/kivuli-front.png","../marketing/roster-before-rebuild/kivuli-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
"gale","GALE","The Last Ranger","Archer / Trick Arrows","skilled","No powers — a bow, a knife, and a quiver of nasty ideas. Draw deep and switch broadheads: poison bleeds, flame burns, explosive erases, acid eats armour.","Combat leap","36","0","Explicit source","martial","{""kind"":""leap"",""name"":""Vault"",""up"":42,""fwd"":60}","{}","Not declared","{""scale"":0.92,""bulk"":0.79,""broad"":0.9,""head"":1.09,""neck"":0.84,""stance"":0.94}","{""costume"":""tactical"",""flightStyle"":""martial"",""hairColor"":""#17242b"",""definition"":0.35}","{""band"":1,""weaponL"":""bow"",""weaponR"":""knife""}","[{""kind"":""medkit"",""name"":""Field Kit"",""cd"":9,""heal"":40,""charges"":2}]","{""primary"":""#3d7335"",""secondary"":""#32561c"",""accent"":""#a5e86f"",""skin"":""#d8a878""}","Low","3","Not declared","LMB: Longshot (bow)
RMB: Concussion Shot (projectile)
Q: Switch Broadheads (quiver)
E: Ranger Knife (melee)
H: Deadeye (buff)
SHIFT: Tumble (dash)
R: Arrow Storm (volley)","../marketing/roster-before-rebuild/gale-front.png","../marketing/roster-before-rebuild/gale-rear.png","77e7e59","No after evidence supplied","","","","","","","","","","","","","","","src/data/characters.js","src/data/hero-models.js; src/engine/figure.js; def.model / def.build","Checked-in roster; no browser-local profiles"
